feature_family,feature_count,total_mean_abs_shap,top_feature,top_feature_mean_abs_shap,group_importance_percent
target_encoding,5,0.8129553515464067,site_id_te,0.38289856910705566,0.5422316210327713
historical_ctr,5,0.23857951676473022,site_id_hist_ctr,0.13661640882492065,0.159129720807515
frequency,5,0.18796761520206928,site_id_freq,0.062484242022037506,0.1253721800327728
exposure_percentile,5,0.08966476423665881,app_id_exposure_percentile,0.03912225738167763,0.059805339086680946
historical_impressions,5,0.0681010177358985,site_category_hist_impressions,0.02408563904464245,0.045422574770774285
time,3,0.052606580313295126,hour_cos,0.032553430646657944,0.035087967950525725
historical_clicks,5,0.04940206836909056,app_id_hist_clicks,0.015742309391498566,0.032950596318959885
