entity,feature_count,total_mean_abs_shap,top_feature,top_feature_mean_abs_shap,entity_importance_percent
site_id,6,0.639284061267972,site_id_te,0.38289856910705566,0.4263949209293794
app_id,6,0.44396171532571316,app_id_te,0.2818731665611267,0.29611722232916426
device_model,6,0.208666218444705,device_model_te,0.12260528653860092,0.13917790401013427
app_category,6,0.08813843643292785,app_category_freq,0.037335868924856186,0.058787296462728574
site_category,6,0.0666199023835361,site_category_hist_impressions,0.02408563904464245,0.04443468831806773
time,3,0.052606580313295126,hour_cos,0.032553430646657944,0.035087967950525725
