baseline_model,tree_model,logistic_roc_auc,tree_roc_auc,auc_absolute_improvement,auc_relative_improvement_percent,logistic_log_loss,tree_log_loss,logloss_absolute_reduction,logloss_relative_reduction_percent,logistic_calibration_gap,tree_calibration_gap,calibration_gap_reduction
Logistic Regression,LightGBM,0.731078941430253,0.735405515794652,0.004326574364398983,0.5918067282767917,0.4126315426040813,0.38523736790195107,0.027394174702130236,6.638894964075702,0.087417219458848,5.539927370148967e-05,0.08736182018514652
Logistic Regression,XGBoost,0.731078941430253,0.7333192196993579,0.0022402782691048895,0.30643452329814075,0.4126315426040813,0.3860720694065094,0.026559473197571903,6.436607591837844,0.087417219458848,0.0006339425497055018,0.0867832769091425
