method,data_scope,calibration_rows,evaluation_rows,roc_auc,log_loss,brier_score,actual_ctr,mean_predicted_ctr,calibration_gap,expected_calibration_error,maximum_calibration_error,accuracy,precision,recall,f1,predicted_click_ratio_at_threshold,threshold,selected_as_best,holdout_used,selection_reason,raw_to_best_logloss_change,raw_to_best_brier_change,raw_to_best_ece_change,raw_to_best_calibration_gap_change
uncalibrated,development_calibration_evaluation_split,300000,200000,0.7351831928491187,0.3856431701402131,0.1193545203675139,0.15697,0.16071396019610798,0.0037439601961079816,0.006244150993165998,0.01766686355137731,0.845125,0.5665290568434423,0.056826145123271964,0.1032915496627392,0.015745,0.5,False,False,,-0.00036482767565060303,-0.00010014618222484173,-0.0019050805509503443,-0.0036810239591859306
sigmoid,development_calibration_evaluation_split,300000,200000,0.7351831928491187,0.3855871594721764,0.11933197817324774,0.15697,0.1568906118293456,7.938817065439308e-05,0.00488424709491197,0.013917396455998779,0.845175,0.5743500866551127,0.0527807861374785,0.09667726596458473,0.014425,0.5,False,False,,-0.00036482767565060303,-0.00010014618222484173,-0.0019050805509503443,-0.0036810239591859306
isotonic,development_calibration_evaluation_split,300000,200000,0.7352969325705098,0.3852783424645625,0.11925437418528906,0.15697,0.15690706376307795,6.293623692205097e-05,0.004339070442215653,0.011353430925056862,0.845095,0.5641105246817758,0.057877301395171055,0.10498338870431893,0.016105,0.5,True,False,"按优先级 ['log_loss', 'brier_score', 'expected_calibration_error', 'calibration_gap'] 选择 isotonic；LogLoss 改善；Brier Score 改善；ECE 改善；calibration_gap 改善",-0.00036482767565060303,-0.00010014618222484173,-0.0019050805509503443,-0.0036810239591859306
