model,mode,train_row_count,valid_row_count,feature_count,roc_auc,log_loss,accuracy,precision,recall,f1,valid_actual_ctr,valid_mean_predicted_ctr,ctr_calibration_gap,predicted_click_ratio_at_threshold,threshold,best_iteration,auc_rank,logloss_rank,calibration_rank,overall_rank_score,overall_rank
LightGBM,formal,2000000,500000,33,0.735405515794652,0.38523736790195107,0.84578,0.5907050435701082,0.05700524947760053,0.10397638801738363,0.156968,0.15702339927370149,5.539927370148967e-05,0.015148,0.5,376.0,1,1,1,1.0,1
XGBoost,formal,2000000,500000,33,0.7333192196993579,0.3860720694065094,0.84547,0.5890430971512053,0.051373528362468786,0.09450479907182786,0.156968,0.1563340574502945,0.0006339425497055018,0.01369,0.5,125.0,2,2,2,2.0,2
Logistic Regression,formal,32377421,3832608,33,0.731078941430253,0.4126315426040813,0.8434781224690864,0.5006010835115767,0.10687269703236946,0.17614122500662643,0.1565620590469988,0.2439792785058468,0.087417219458848,0.03342423749050255,0.5,,3,3,3,3.0,3
