lightgbm_weight,deepfm_weight,auc,logloss,brier,average_precision,mean_predicted_ctr,calibration_gap,search_phase
0.0,1.0,0.7436862962207268,0.38244357424674646,0.11808993852178214,0.34998524223291283,0.15510162216303516,0.0018663778369648332,coarse
0.01,0.99,0.7438026228651919,0.382368843587246,0.11807346410669067,0.3501746924484498,0.15512914959842355,0.0018388504015764418,coarse
0.02,0.98,0.7439165201564097,0.3822961587803714,0.11805728185093473,0.35035591047052556,0.155156677033812,0.0018113229661879948,coarse
0.03,0.97,0.7440281077053073,0.38222540556003304,0.11804139175451431,0.3505245210309594,0.1551842044692004,0.0017837955307996034,coarse
0.04,0.96,0.7441380848443602,0.3821564949554928,0.11802579381742936,0.35070288481162093,0.1552117319045888,0.0017562680954111842,coarse
0.05,0.95,0.7442460223858629,0.3820893548597138,0.11801048803967995,0.35087889799200744,0.15523925933997726,0.0017287406600227373,coarse
0.06,0.94,0.7443523452100766,0.38202392507753963,0.11799547442126604,0.3510557173476783,0.15526678677536565,0.0017012132246343459,coarse
0.07,0.9299999999999999,0.7444555561098156,0.38196015421023183,0.11798075296218763,0.351225020660337,0.1552943142107541,0.001673685789245899,coarse
0.08,0.92,0.7445576551599391,0.3818979975871984,0.11796632366244475,0.35140544854979966,0.15532184164614252,0.0016461583538574798,coarse
0.09,0.91,0.7446564639573937,0.3818374158324796,0.11795218652203734,0.3515696347161904,0.15534936908153096,0.0016186309184690328,coarse
0.1,0.9,0.7447537111475917,0.3817783738354803,0.11793834154096547,0.35175944373350526,0.15537689651691933,0.0015911034830806692,coarse
0.11,0.89,0.744850045416532,0.3817208399898786,0.1179247887192291,0.35195409506730735,0.15540442395230777,0.0015635760476922222,coarse
0.12,0.88,0.7449435009977715,0.381664785616654,0.11791152805682824,0.35212918548654293,0.1554319513876962,0.001536048612303803,coarse
0.13,0.87,0.745033669046833,0.38161018451727974,0.11789855955376287,0.3522741055190214,0.1554594788230846,0.001508521176915384,coarse
0.14,0.86,0.7451218219978787,0.381557012621283,0.11788588321003303,0.35243382090490627,0.15548700625847303,0.0014809937415269647,coarse
0.15,0.85,0.7452080076710973,0.3815052477037439,0.11787349902563868,0.352600852502841,0.15551453369386145,0.0014534663061385455,coarse
0.16,0.84,0.7452909752300036,0.38145486915563304,0.11786140700057987,0.35274057195236097,0.15554206112924987,0.0014259388707501264,coarse
0.17,0.83,0.7453723759069234,0.3814058577947607,0.11784960713485655,0.35286859184717245,0.1555695885646383,0.0013984114353617072,coarse
0.18,0.8200000000000001,0.7454516791909704,0.3813581957084137,0.11783809942846872,0.35299396688176576,0.1555971160000267,0.001370883999973288,coarse
0.19,0.81,0.7455282650822135,0.3813118661210594,0.1178268838814164,0.3531116203917395,0.1556246434354151,0.0013433565645848966,coarse
0.2,0.8,0.7456028815494642,0.3812668532821222,0.11781596049369962,0.35322984422584064,0.15565217087080352,0.0013158291291964774,coarse
0.21,0.79,0.7456760876234242,0.3812231423700148,0.11780532926531831,0.3533438604471143,0.15567969830619194,0.0012883016938080583,coarse
0.22,0.78,0.7457477148754645,0.38118071940946474,0.11779499019627256,0.35345460309719384,0.15570722574158036,0.001260774258419639,coarse
0.23,0.77,0.7458167354133489,0.3811395711998168,0.11778494328656225,0.35356049280803065,0.15573475317696878,0.00123324682303122,coarse
0.24,0.76,0.7458845523908385,0.38109968525247545,0.11777518853618749,0.3536671262321532,0.15576228061235722,0.001205719387642773,coarse
0.25,0.75,0.7459486318064602,0.3810610497360144,0.11776572594514824,0.3537701202505538,0.15578980804774564,0.0011781919522543538,coarse
0.26,0.74,0.7460120945471955,0.3810236534277691,0.1177565555134445,0.3538733651347782,0.15581733548313406,0.0011506645168659346,coarse
0.27,0.73,0.7460735898740792,0.3809874856709432,0.11774767724107625,0.35397380133535417,0.1558448629185225,0.0011231370814774877,coarse
0.28,0.72,0.7461311785454569,0.3809525363364368,0.11773909112804351,0.35406654643860686,0.15587239035391093,0.0010956096460890685,coarse
0.29,0.71,0.7461872742415239,0.3809187957887406,0.11773079717434629,0.3541573372757725,0.15589991778929932,0.001068082210700677,coarse
0.3,0.7,0.7462408907993556,0.3808862548553514,0.11772279537998456,0.35424106191355836,0.15592744522468774,0.001040554775312258,coarse
0.31,0.69,0.7462936394147164,0.3808549047992494,0.11771508574495836,0.3543257149081692,0.15595497266007613,0.0010130273399238665,coarse
0.32,0.6799999999999999,0.7463432908869376,0.38082473729405686,0.11770766826926765,0.3544076495905154,0.15598250009546455,0.0009854999045354473,coarse
0.33,0.6699999999999999,0.7463920530608326,0.3807957444015482,0.11770054295291246,0.3545001042381028,0.15601002753085297,0.0009579724691470282,coarse
0.34,0.6599999999999999,0.7464370541859529,0.38076791855123693,0.11769370979589278,0.3545795219766083,0.15603755496624142,0.0009304450337585812,coarse
0.35,0.65,0.7464804309360404,0.38074125252180174,0.1176871687982086,0.35465078695274277,0.15606508240162983,0.0009029175983701621,coarse
0.36,0.64,0.7465208645681285,0.38071573942414727,0.11768091995985992,0.35472398472684435,0.15609260983701825,0.0008753901629817429,coarse
0.37,0.63,0.7465600074631947,0.3806913726859245,0.11767496328084677,0.35478926569798075,0.15612013727240667,0.0008478627275933237,coarse
0.38,0.62,0.7465962369842981,0.38066814603735927,0.11766929876116912,0.35486250215119486,0.15614766470779506,0.0008203352922049323,coarse
0.39,0.61,0.7466318312404923,0.3806460534982542,0.11766392640082697,0.3549219964914456,0.15617519214318348,0.0007928078568165131,coarse
0.4,0.6,0.7466649665354271,0.38062508936605277,0.11765884619982034,0.35497707320786137,0.1562027195785719,0.0007652804214280939,coarse
