model,data_scope,train_rows,valid_rows,feature_count,roc_auc,log_loss,accuracy,precision,recall,f1,valid_actual_ctr,valid_mean_predicted_ctr,calibration_gap,predicted_click_ratio_at_threshold,threshold,best_iteration,training_seconds,model_size_mb,random_state,train_id_sha256,valid_id_sha256,holdout_used
Logistic Regression,fixed_shared_sample,2000000,500000,33,0.7020932966353959,0.40975348630905656,0.841508,0.46760754973643937,0.07007797767697875,0.12188905879484964,0.156968,0.185520676304791,0.028552676304790997,0.023524,0.5,,1.227120499999728,0.0030422210693359375,42,f1922d6aeff411cf2a6c8e0b697c894b9446f24e67bbafa0bb29dfbe878e94f1,46208ac9fdda8a91e5a8e5ca926db27c779c607f6e302255a3017e7bcf866a2f,False
LightGBM,fixed_shared_sample,2000000,500000,33,0.735405515794652,0.38523736790195107,0.84578,0.5907050435701082,0.05700524947760053,0.10397638801738363,0.156968,0.15702339927370149,5.539927370148967e-05,0.015148,0.5,376.0,13.103979000006802,1.3034114837646484,42,f1922d6aeff411cf2a6c8e0b697c894b9446f24e67bbafa0bb29dfbe878e94f1,46208ac9fdda8a91e5a8e5ca926db27c779c607f6e302255a3017e7bcf866a2f,False
XGBoost,fixed_shared_sample,2000000,500000,33,0.7333192196993579,0.3860721062258276,0.84547,0.5890430971512053,0.051373528362468786,0.09450479907182786,0.156968,0.15633406932295998,0.0006339306770400122,0.01369,0.5,125.0,9.804982125002425,1.1418380737304688,42,f1922d6aeff411cf2a6c8e0b697c894b9446f24e67bbafa0bb29dfbe878e94f1,46208ac9fdda8a91e5a8e5ca926db27c779c607f6e302255a3017e7bcf866a2f,False
