operating_point,dataset,threshold,predicted_positive_rows,coverage,tp,fp,tn,fn,precision,recall,f1,specificity,youden_j,accuracy,actual_ctr,selected_ctr,lift
development_max_f1,validation,0.19988484156131744,164789,0.329578,49155,115634,305882,29329,0.2982905412375826,0.6263059986748891,0.4041138967332996,0.7256711489006349,0.351977147575524,0.710074,0.156968,0.2982905412375826,1.9003270809182928
development_max_youden_j,validation,0.1583255571424961,210608,0.421216,57431,153177,268339,21053,0.272691445719061,0.731754242903012,0.39731988432748044,0.6366045417018571,0.36835878460486926,0.65154,0.156968,0.272691445719061,1.73724227689122
reference_0_5,validation,0.5,8750,0.0175,5349,3401,418115,73135,0.6113142857142857,0.06815401865348351,0.12263566957837542,0.9919315043794305,0.060085523032914034,0.846928,0.156968,0.6113142857142857,3.8945153516276294
fixed_development_max_f1,holdout,0.19988484156131744,1396821,0.3310835570468208,444237,952584,2552169,269948,0.31803430790344644,0.6220195047501698,0.42087706051048646,0.7282022442095063,0.35022174895967595,0.7102275501559872,0.16928075264438586,0.31803430790344644,1.8787387398468893
fixed_development_max_youden_j,holdout,0.1583255571424961,1847871,0.4379943483407436,534013,1313858,2190895,180172,0.28898824647391513,0.7477236290316934,0.416862863262942,0.6251210855658016,0.37284471459749513,0.6458753363998239,0.16928075264438586,0.28898824647391513,1.7071536011007884
reference_0_5,holdout,0.5,78319,0.018563676451277548,49737,28582,3476171,664448,0.6350566273828828,0.06964161946834503,0.12551860936979498,0.9918447890621679,0.061486408530512904,0.8357335424222874,0.16928075264438586,0.6350566273828828,3.751499313787723
