threshold,tp,fp,tn,fn,predicted_positive_rows,predicted_negative_rows,coverage,precision,recall,specificity,false_positive_rate,false_negative_rate,accuracy,balanced_accuracy,f1,negative_predictive_value,selected_group_ctr,unselected_group_ctr,overall_ctr,lift,click_capture_rate,missed_click_rate,youden_j
1e-07,31394,168606,0,0,200000,0,1.0,0.15697,1.0,0.0,1.0,0.0,0.15697,0.5,0.2713467073476408,,0.15697,,0.15697,1.0,1.0,0.0,0.0
0.01,31383,166619,1987,11,198002,1998,0.99001,0.15849839900607066,0.9996496145760336,0.011784871238271473,0.9882151287617286,0.000350385423966363,0.16685,0.5057172429071526,0.2736141868210431,0.9944944944944945,0.15849839900607066,0.0055055055055055055,0.15697,1.0097368860678515,0.9996496145760336,0.000350385423966363,0.011434485814305173
0.02,31263,157950,10656,131,189213,10787,0.946065,0.1652264907802318,0.9958272281327643,0.06320059784349312,0.9367994021565069,0.004172771867235778,0.209595,0.5295139129881287,0.28342708980222747,0.9878557522944285,0.1652264907802318,0.012144247705571522,0.15697,1.0525991640455616,0.9958272281327643,0.004172771867235778,0.05902782597625733
0.03,31045,149582,19024,349,180627,19373,0.903135,0.17187352942804784,0.9888832260941581,0.1128310973512212,0.8871689026487788,0.01111677390584188,0.250345,0.5508571617226896,0.29284834992760145,0.981985237185774,0.17187352942804784,0.018014762814225985,0.15697,1.0949450814043948,0.9888832260941581,0.01111677390584188,0.10171432344537923
0.030492030492030493,31045,149582,19024,349,180627,19373,0.903135,0.17187352942804784,0.9888832260941581,0.1128310973512212,0.8871689026487788,0.01111677390584188,0.250345,0.5508571617226896,0.29284834992760145,0.981985237185774,0.17187352942804784,0.018014762814225985,0.15697,1.0949450814043948,0.9888832260941581,0.01111677390584188,0.10171432344537923
0.04,30597,136070,32536,797,166667,33333,0.833335,0.18358163283673432,0.9746129833726189,0.19297059416628115,0.8070294058337188,0.025387016627381027,0.315665,0.58379178876945,0.30896541974442215,0.976089760897609,0.18358163283673432,0.023910239102391023,0.15697,1.1695332409806607,0.9746129833726189,0.025387016627381027,0.16758357753890007
0.05,30504,134106,34500,890,164610,35390,0.82305,0.18531073446327684,0.9716506338790851,0.2046190527027508,0.7953809472972492,0.028349366120914824,0.32502,0.5881348432909179,0.31125895389890007,0.9748516530093246,0.18531073446327684,0.025148346990675332,0.15697,1.1805487320078796,0.9716506338790851,0.028349366120914824,0.17626968658183584
0.0506265664160401,30504,134106,34500,890,164610,35390,0.82305,0.18531073446327684,0.9716506338790851,0.2046190527027508,0.7953809472972492,0.028349366120914824,0.32502,0.5881348432909179,0.31125895389890007,0.9748516530093246,0.18531073446327684,0.025148346990675332,0.15697,1.1805487320078796,0.9716506338790851,0.028349366120914824,0.17626968658183584
0.06,29904,122186,46420,1490,152090,47910,0.76045,0.1966204221184825,0.9525387016627381,0.27531641815830993,0.7246835818416901,0.0474612983372619,0.38162,0.6139275599105241,0.3259575766824355,0.9689000208724692,0.1966204221184825,0.031099979127530788,0.15697,1.2525987266259955,0.9525387016627381,0.0474612983372619,0.2278551198210481
0.07,29368,115050,53556,2026,144418,55582,0.72209,0.2033541525294631,0.9354653755494681,0.3176399416390876,0.6823600583609124,0.06453462445053194,0.41462,0.6265526585942778,0.3340841353263714,0.9635493505091577,0.2033541525294631,0.03645064949084236,0.15697,1.295496926351934,0.9354653755494681,0.06453462445053194,0.25310531718855556
0.073890608875129,29368,115049,53557,2026,144417,55583,0.722085,0.20335556063344343,0.9354653755494681,0.3176458726261224,0.6823541273738776,0.06453462445053194,0.414625,0.6265556240877952,0.33408603557229066,0.9635500062968894,0.20335556063344343,0.03644999370311066,0.15697,1.2955058968812094,0.9354653755494681,0.06453462445053194,0.2531112481755904
0.08,28688,106686,61920,2706,135374,64626,0.67687,0.21191661618922392,0.9138051857042747,0.3672467171986762,0.6327532828013238,0.0861948142957253,0.45304,0.6405259514514754,0.34404681953372346,0.9581283074923406,0.21191661618922392,0.04187169250765946,0.15697,1.3500453347086954,0.9138051857042747,0.0861948142957253,0.2810519029029508
0.09,28542,104944,63662,2852,133486,66514,0.66743,0.21382017589859612,0.9091546155316302,0.3775784966134064,0.6224215033865936,0.09084538446836975,0.46102,0.6433665560725184,0.3462154294032023,0.9571218089424782,0.21382017589859612,0.042878191057521726,0.15697,1.3621722360871258,0.9091546155316302,0.09084538446836975,0.2867331121450367
0.09930925836160931,28125,101046,67560,3269,129171,70829,0.645855,0.21773463083819122,0.8958718226412691,0.4006974840752998,0.5993025159247002,0.10412817735873096,0.478425,0.6482846533582844,0.35032541338398776,0.9538465882618702,0.21773463083819122,0.04615341173812986,0.15697,1.3871098352436213,0.8958718226412691,0.10412817735873096,0.2965693067165689
0.1,26908,91260,77346,4486,118168,81832,0.59084,0.22770970144201477,0.8571064534624451,0.4587381231984627,0.5412618768015374,0.14289354653755496,0.52127,0.6579222883304539,0.3598240194701863,0.9451803695375892,0.22770970144201477,0.05481963046241079,0.15697,1.4506574596548052,0.8571064534624451,0.14289354653755496,0.3158445766609077
0.11,26883,91061,77545,4511,117944,82056,0.58972,0.22793020416468832,0.8563101229534306,0.4599183896184003,0.5400816103815997,0.1436898770465694,0.52214,0.6581142562859155,0.36002892766743894,0.9450253485424588,0.22793020416468832,0.05497465145754119,0.15697,1.4520622040178908,0.8563101229534306,0.1436898770465694,0.31622851257183093
0.12,25401,80186,88420,5993,105587,94413,0.527935,0.24056938827696592,0.8091036503790533,0.5244178736225282,0.4755821263774717,0.19089634962094668,0.569105,0.6667607620007907,0.37086895262846675,0.9365235719657251,0.24056938827696592,0.06347642803427495,0.15697,1.5325819473591509,0.8091036503790533,0.19089634962094668,0.3335215240015814
0.12927899686520378,25070,77968,90638,6324,103038,96962,0.51519,0.2433082940274462,0.7985602344397018,0.537572802865853,0.46242719713414704,0.20143976556029813,0.57854,0.6680665186527774,0.37297667222089975,0.9347785730492357,0.2433082940274462,0.06522142695076422,0.15697,1.5500305410425317,0.7985602344397018,0.20143976556029813,0.3361330373055549
0.13,24311,73429,95177,7083,97740,102260,0.4887,0.24873132801309597,0.7743836401860228,0.5644935530170931,0.4355064469829069,0.22561635981397718,0.59744,0.6694385966015579,0.37652361113262195,0.9307353804028946,0.24873132801309597,0.06926461959710542,0.15697,1.5845787603560932,0.7743836401860228,0.22561635981397718,0.3388771932031158
0.14,24248,72998,95608,7146,97246,102754,0.48623,0.24934701684388047,0.7723768873033063,0.5670498084291188,0.4329501915708812,0.22762311269669364,0.59928,0.6697133478662125,0.3769900497512438,0.9304552620822547,0.24934701684388047,0.06954473791774529,0.15697,1.5885010947561984,0.7723768873033063,0.22762311269669364,0.339426695732425
0.15,22298,61490,107116,9096,83788,116212,0.41894,0.26612402730701296,0.7102631076001784,0.6353036072263146,0.3646963927736854,0.28973689239982164,0.64707,0.6727833574132465,0.3871785522043375,0.9217292534333804,0.26612402730701296,0.07827074656661963,0.15697,1.6953814570109764,0.7102631076001784,0.28973689239982164,0.3455667148264929
0.16,22296,61476,107130,9098,83772,116228,0.41886,0.2661509812347801,0.7101994011594572,0.6353866410448027,0.3646133589551973,0.28980059884054277,0.64713,0.67279302110213,0.3871976104058489,0.9217228206628351,0.2661509812347801,0.07827717933716488,0.15697,1.6955531708911262,0.7101994011594572,0.28980059884054277,0.34558604220426004
