operating_point,feasible,interpretation,threshold,coverage,precision,recall,f1,lift,selected_group_ctr,click_capture_rate,tp,fp,tn,fn
maximum_f1,True,F1 最大的数学折中阈值；并列时选择更高阈值。,0.21,0.28937,0.3012406261879255,0.5553290437663247,0.3905990948604204,1.9190968095045264,0.3012406261879255,0.5553290437663247,17434.0,40440.0,128166.0,13960.0
maximum_youden_j,True,Youden J 最大，兼顾 recall 与 specificity。,0.16,0.41886,0.2661509812347801,0.7101994011594572,0.3871976104058489,1.6955531708911262,0.2661509812347801,0.7101994011594572,22296.0,61476.0,107130.0,9098.0
recall_at_least_80_percent,True,Recall >= 80% 时 precision 最高的阈值。,0.12,0.527935,0.24056938827696592,0.8091036503790533,0.37086895262846675,1.5325819473591509,0.24056938827696592,0.8091036503790533,25401.0,80186.0,88420.0,5993.0
recall_at_least_90_percent,True,Recall >= 90% 时 precision 最高的阈值。,0.09,0.66743,0.21382017589859612,0.9091546155316302,0.3462154294032023,1.3621722360871258,0.21382017589859612,0.9091546155316302,28542.0,104944.0,63662.0,2852.0
precision_at_least_25_percent,True,Precision >= 25% 时 recall 最高的阈值。,0.15,0.41894,0.26612402730701296,0.7102631076001784,0.3871785522043375,1.6953814570109764,0.26612402730701296,0.7102631076001784,22298.0,61490.0,107116.0,9096.0
coverage_nearest_10_percent,True,coverage 最接近 10% 的阈值。,0.31,0.09957,0.38380034146831377,0.24345416321590113,0.2979262493178452,2.445055370251091,0.38380034146831377,0.24345416321590113,7643.0,12271.0,156335.0,23751.0
coverage_nearest_20_percent,True,coverage 最接近 20% 的阈值。,0.26,0.18871,0.3357532722166287,0.4036440084092502,0.36658180976625787,2.1389645933403116,0.3357532722166287,0.4036440084092502,12672.0,25070.0,143536.0,18722.0
